,Prev Close,Moving Average 5,Moving Average 10
144,-0.7726541891631641,-0.7725907124253603,-0.7724551955319197
145,-0.772577800775043,-0.7725805236407602,-0.7724539207316937
146,-0.7724886745800243,-0.7725805236407602,-0.7724679430773783
147,-0.7725014065211697,-0.7725626920288966,-0.7724896138981325
148,-0.7725014065211697,-0.7725066490191456,-0.7724921629112693
149,-0.772374084502715,-0.7724480600520579,-0.7724717668907412
150,-0.7722849713427014,-0.7724276828740622,-0.7724564706584318
151,-0.7723868288271152,-0.7724047583043143,-0.7724449984352569
152,-0.7723868288271152,-0.7723716424723396,-0.7724195026265097
153,-0.7723358925897804,-0.7723920230407723,-0.7724016559454043
154,-0.7724759472011308,-0.7724557065305613,-0.7724042054153419
155,-0.7726032633538332,-0.7725448626338575,-0.7724386246951562
156,-0.7728324337321983,-0.7726212833432098,-0.7724653959567016
157,-0.7727687818474744,-0.7727028000096794,-0.7724896173567665
158,-0.7727433153581826,-0.7727690318040306,-0.7725329610865065
159,-0.7728069757156598,-0.7727995999834505,-0.7725801277812651
160,-0.7727560440405767,-0.7727995999834505,-0.7726247444840283
161,-0.7728324337321983,-0.7727817677195797,-0.772654064106138
162,-0.7726796556524558,-0.7727868630246898,-0.7726974076401064
163,-0.7727687818474744,-0.7727639362381178,-0.7727190789176612
164,-0.7726923869418509,-0.7727511998009627,-0.7727280025192429
165,-0.7726923869418509,-0.7727180851426008,-0.7727114308341353
166,-0.7726669256665611,-0.7727180851426008,-0.7727025069715246
167,-0.7726796556524558,-0.7727155365772359,-0.7727037814454645
168,-0.7727560440405767,-0.7727231787524923,-0.7726961325135943
169,-0.772730582765287,-0.7727155361860315,-0.772685934177044
170,-0.7726541891631641,-0.7727104414025272,-0.7726668128914844
171,-0.7726414617842704,-0.772712988663878,-0.7726680876264532
172,-0.7726923869418509,-0.7727027994880737,-0.77266171323378
173,-0.772705118231246,-0.7727002514443145,-0.7726642625079456
174,-0.7727178475653904,-0.7727129881422723,-0.7726668117821113
175,-0.7727178475653904,-0.772738462190195,-0.7726770102491762
176,-0.7727687818474744,-0.7727664825866586,-0.7726923073298296
177,-0.7728324337321983,-0.7727766717624628,-0.7726923073298296
178,-0.7727560440405767,-0.7727843140681205,-0.7726948566692525
179,-0.7727560440405767,-0.7727762128798635,-0.7726971764336974
180,-0.7726773575810721,-0.7727374767466594,-0.7726905396416534
181,-0.7725751774802844,-0.7726681157094172,-0.7726698513991948
182,-0.7724857651669057,-0.7725961497733964,-0.7726389362375137
183,-0.7723963561122783,-0.7725165163642437,-0.7726029094760528
184,-0.7723580338492936,-0.7724654052666226,-0.7725732776632964
185,-0.772421902766851,-0.7724194029054576,-0.7725308716801265
186,-0.7723452562856307,-0.7723504011241292,-0.7724616302875418
187,-0.7721408921735535,-0.7723171767981725,-0.7724089895542804
188,-0.7722302999246805,-0.7723018415911056,-0.7723614640752043
189,-0.7722813880198236,-0.772268617004346,-0.7723192596716554
190,-0.7722558452757525,-0.7722635053990585,-0.77229368052941
191,-0.7723197083275576,-0.7723248397072549,-0.7722898434688272
192,-0.772447442903921,-0.772419398993415,-0.7723205375389718
193,-0.772702910101397,-0.7725114038461462,-0.7723589055997674
194,-0.7727412310608812,-0.7726238523815978,-0.772398551919423
195,-0.7728178664623473,-0.772705634284557,-0.7724369203065049
196,-0.7727284567559696,-0.7727669692447603,-0.7724983081205079
197,-0.7727539968930397,-0.7727311889205576,-0.7725277230834485
198,-0.7725240789571373,-0.7727260767936645,-0.7725712071162593
199,-0.7727156804958072,-0.7727235217082286,-0.7726262014824744
200,-0.7728050960679371,-0.7727362980482181,-0.7726735215970094
201,-0.7727923132902722,-0.7727669658543234,-0.7727195628653694
202,-0.7729072755169747,-0.7728231914260635,-0.7727297943525987
203,-0.7728050960679371,-0.7728385240251019,-0.7727349090194687
204,-0.7727923132902722,-0.7728283001625196,-0.7727285140055072
205,-0.7727539968930397,-0.7727848558860233,-0.7727131667420345
206,-0.7725751774802844,-0.7727337438755922,-0.7727029357768631
207,-0.7726518161405016,-0.7727260782280801,-0.7727272367907633
208,-0.7727667829294559,-0.7727209701436308,-0.7727323534806079
209,-0.7727667829294559,-0.772733749091649,-0.7727336321310112
210,-0.7728178664623473,-0.7727874173611289,-0.7727387485598268
211,-0.7728434131169198,-0.7728359751989341,-0.7727374703662242
212,-0.7728945096848162,-0.7728078609134478,-0.7727195648883438
213,-0.772626266878928,-0.7727695247214006,-0.7726978239160543
214,-0.7725751774802844,-0.7727005221576638,-0.7726696877340314
215,-0.7724729895584935,-0.7726340748097644,-0.7726632926548125
216,-0.7725113072592266,-0.7725548495570583,-0.7726479456523688
217,-0.7724985394718173,-0.7725676279834707,-0.7726402710744025
218,-0.7726901338412346,-0.7725880720573951,-0.7726313172587177
219,-0.7726773575810721,-0.7726340742881588,-0.772619807121085
220,-0.772702910101397,-0.7726775213030849,-0.7726082969834526
221,-0.7727284567559696,-0.7727184115373565,-0.7725891128551688
222,-0.772702910101397,-0.7727107449770346,-0.7725916710043194
223,-0.7726518161405016,-0.7726928566405532,-0.7725929499810088
224,-0.7725879511334458,-0.7726698557859742,-0.7726044606406994
225,-0.7725879511334458,-0.7726545216221187,-0.7726185292537687
226,-0.7726518161405016,-0.7726442988027479,-0.7726338762562124
227,-0.7726518161405016,-0.772667301222144,-0.7726415508341787
228,-0.7727667829294559,-0.7727388586105137,-0.7726684086268274
229,-0.7729455971282091,-0.7727874150139034,-0.7726811974801205
230,-0.7728306375085077,-0.7728231933820847,-0.7726914284452918
231,-0.7728306375085077,-0.7728589717502662,-0.772704217298585
232,-0.7728306375085077,-0.7728717476990515,-0.7727221219933785
233,-0.7728306375085077,-0.7728359707652858,-0.772740027732288
